x,y
0.697144992,101102515.1
1.759063513,152944418.4
2.461280387,197189903
3.108865806,221960562.4
3.794740673,235009487.5
4.543208535,368143825.5
5.423140189,493866293.2
6.33063515,529340579.8
7.248436052,636033732.2
8.188909676,770494153.9
9.114790952,832605888.3
10.0253256,846306868.1
10.99405362,984228557
12.16449414,1144627190
13.5197464,1375336375
15.16072171,1504510863
17.23003676,1567171318
19.84575062,1969493570
23.16668979,2515829102
27.40788761,3097838460
32.76498657,3544364937
